Names,Rating,Rating Score,Number of Ratings,Discount %,Discount Price,Normal Price,Release Date,Win,Linux,Mac,Scrape Time
Titan Quest Anniversary Edition,Very Positive,7,"10,810",-80%,"3,99","19,99","31 Aug, 2016",True,False,False,2019-10-22 10:17:34.714304
IL-2 Sturmovik: Battle of Stalingrad,Mostly Positive,5,"1,938",-75%,"11,74","46,99","22 Oct, 2014",True,False,False,2019-10-22 10:17:34.714304
POSTAL 4: No Regerts,Very Positive,7,"1,846",-10%,"15,11","16,79","14 Oct, 2019",True,False,False,2019-10-22 10:17:34.714304
The Jackbox Party Pack 6,Very Positive,7,54,-17%,"20,74","24,99","16 Oct, 2019",True,True,True,2019-10-22 10:17:34.714304
NBA 2K20,Overwhelmingly Negative,0,"3,713",-33%,"33,49","49,99","6 Sep, 2019",True,False,False,2019-10-22 10:17:34.714304
Starpoint Gemini Franchise,Mostly Positive,5,"5,270",-83%,"22,27","132,58",,True,False,False,2019-10-22 10:17:34.714304
Universe Sandbox ²,Very Positive,7,"6,000",-33%,"14,06","20,99","24 Aug, 2015",True,True,True,2019-10-22 10:17:34.714304
Rebel Inc: Escalation,Mostly Positive,5,309,-10%,"13,49","14,99","15 Oct, 2019",True,False,False,2019-10-22 10:17:34.714304
Offworld Trading Company - Gold Bundle,Mostly Positive,5,"2,719",-79%,"16,66","77,89",,True,False,True,2019-10-22 10:17:34.714304
SUPERHOT VR,Very Positive,7,"2,758",-33%,"15,40","22,99","25 May, 2017",True,False,False,2019-10-22 10:17:34.714304
Little Big Workshop,Very Positive,7,161,-10%,"17,99","19,99","17 Oct, 2019",True,False,True,2019-10-22 10:17:34.714304
Stellaris: Starter Pack,Mostly Positive,5,"41,242",-44%,"44,97","79,97",,True,True,True,2019-10-22 10:17:34.714304
XERA: Survival,Mixed,4,"1,284",-75%,"4,20","16,79","24 May, 2019",True,False,False,2019-10-22 10:17:34.714304
Budget Cuts,Mostly Positive,5,670,-50%,"13,99","27,98","14 Jun, 2018",True,False,False,2019-10-22 10:17:34.714304
DiRT Rally,Very Positive,7,"16,396",-82%,"6,29","34,99","7 Dec, 2015",True,True,True,2019-10-22 10:17:34.714304
Barotrauma,Very Positive,7,"1,428",-25%,"18,74","24,99","5 Jun, 2019",True,True,True,2019-10-22 10:17:34.714304
Killing Floor 2,Very Positive,7,"51,796",-50%,"13,99","27,99","18 Nov, 2016",True,False,False,2019-10-22 10:17:34.714304
Kerbal Space Program Complete Edition,Very Positive,7,"47,934",-64%,"24,99","69,97",,True,True,True,2019-10-22 10:17:34.714304
NEKO-NIN exHeart 3,Positive,6,23,-10%,"7,37","8,19","18 Oct, 2019",True,False,False,2019-10-22 10:17:34.714304
Starpoint Gemini Warlords,Mostly Positive,5,"2,276",-80%,"6,39","31,99","23 May, 2017",True,False,False,2019-10-22 10:17:34.714304
Stellaris,Mostly Positive,5,"39,079",-75%,"9,99","39,99","9 May, 2016",True,True,True,2019-10-22 10:17:35.881843
DiRT Rally 2.0,Mixed,4,"2,239",-60%,"21,99","54,99","25 Feb, 2019",True,False,False,2019-10-22 10:17:35.881843
Kerbal Space Program,Very Positive,7,"47,244",-75%,"9,99","39,99","27 Apr, 2015",True,True,True,2019-10-22 10:17:35.881843
Autonauts,Very Positive,7,295,-20%,"15,99","19,99","17 Oct, 2019",True,False,False,2019-10-22 10:17:35.881843
The Beast Inside,Very Positive,7,239,-10%,"18,89","20,99","17 Oct, 2019",True,False,False,2019-10-22 10:17:35.881843
Titan Quest Anniversary Edition,Very Positive,7,"10,810",-80%,"3,99","19,99","31 Aug, 2016",True,False,False,2019-10-22 10:17:35.881843
IL-2 Sturmovik: Battle of Stalingrad,Mostly Positive,5,"1,938",-75%,"11,74","46,99","22 Oct, 2014",True,False,False,2019-10-22 10:17:35.881843
POSTAL 4: No Regerts,Very Positive,7,"1,846",-10%,"15,11","16,79","14 Oct, 2019",True,False,False,2019-10-22 10:17:35.881843
The Jackbox Party Pack 6,Very Positive,7,54,-17%,"20,74","24,99","16 Oct, 2019",True,True,True,2019-10-22 10:17:35.881843
NBA 2K20,Overwhelmingly Negative,0,"3,713",-33%,"33,49","49,99","6 Sep, 2019",True,False,False,2019-10-22 10:17:35.881843
Starpoint Gemini Franchise,Mostly Positive,5,"5,270",-83%,"22,27","132,58",,True,False,False,2019-10-22 10:17:35.881843
Universe Sandbox ²,Very Positive,7,"6,000",-33%,"14,06","20,99","24 Aug, 2015",True,True,True,2019-10-22 10:17:35.881843
Rebel Inc: Escalation,Mostly Positive,5,309,-10%,"13,49","14,99","15 Oct, 2019",True,False,False,2019-10-22 10:17:35.881843
Offworld Trading Company - Gold Bundle,Mostly Positive,5,"2,719",-79%,"16,66","77,89",,True,False,True,2019-10-22 10:17:35.881843
SUPERHOT VR,Very Positive,7,"2,758",-33%,"15,40","22,99","25 May, 2017",True,False,False,2019-10-22 10:17:35.881843
Little Big Workshop,Very Positive,7,161,-10%,"17,99","19,99","17 Oct, 2019",True,False,True,2019-10-22 10:17:35.881843
Stellaris: Starter Pack,Mostly Positive,5,"41,242",-44%,"44,97","79,97",,True,True,True,2019-10-22 10:17:35.881843
XERA: Survival,Mixed,4,"1,284",-75%,"4,20","16,79","24 May, 2019",True,False,False,2019-10-22 10:17:35.881843
Budget Cuts,Mostly Positive,5,670,-50%,"13,99","27,98","14 Jun, 2018",True,False,False,2019-10-22 10:17:35.881843
DiRT Rally,Very Positive,7,"16,396",-82%,"6,29","34,99","7 Dec, 2015",True,True,True,2019-10-22 10:17:35.881843
Barotrauma,Very Positive,7,"1,428",-25%,"18,74","24,99","5 Jun, 2019",True,True,True,2019-10-22 10:17:35.881843
Killing Floor 2,Very Positive,7,"51,796",-50%,"13,99","27,99","18 Nov, 2016",True,False,False,2019-10-22 10:17:35.881843
Kerbal Space Program Complete Edition,Very Positive,7,"47,934",-64%,"24,99","69,97",,True,True,True,2019-10-22 10:17:35.881843
NEKO-NIN exHeart 3,Positive,6,23,-10%,"7,37","8,19","18 Oct, 2019",True,False,False,2019-10-22 10:17:35.881843
Starpoint Gemini Warlords,Mostly Positive,5,"2,276",-80%,"6,39","31,99","23 May, 2017",True,False,False,2019-10-22 10:17:35.881843
NEKO-NIN exHeart 2,Very Positive,7,165,-30%,"5,73","8,19","27 Apr, 2018",True,False,False,2019-10-22 10:17:37.075509
The Painscreek Killings,Very Positive,7,732,-60%,"7,99","19,99","27 Sep, 2017",True,False,False,2019-10-22 10:17:37.075509
Dead Effect 2 VR,Very Positive,7,818,-70%,"6,89","22,99","3 Oct, 2017",True,False,False,2019-10-22 10:17:37.075509
Screeps,Very Positive,7,832,-50%,"7,49","14,99","16 Nov, 2016",True,True,True,2019-10-22 10:17:37.075509
Kingdom Two Crowns,Mostly Positive,5,"1,504",-30%,"13,99","19,99","11 Dec, 2018",True,True,True,2019-10-22 10:17:37.075509
DiRT 4,Mixed,4,"4,290",-80%,"10,99","54,99","8 Jun, 2017",True,True,True,2019-10-22 10:17:37.075509
Killing Floor,Overwhelmingly Positive,8,"32,270",-75%,"4,99","19,99","14 May, 2009",True,True,True,2019-10-22 10:17:37.075509
Indivisible,Mostly Positive,5,550,-10%,"35,99","39,99","8 Oct, 2019",True,True,True,2019-10-22 10:17:37.075509
Curious Expedition,Very Positive,7,"1,800",-50%,"7,49","14,99","2 Sep, 2016",True,True,True,2019-10-22 10:17:37.075509
NEKO-NIN exHeart,Overwhelmingly Positive,8,628,-50%,"4,99","9,99","21 Apr, 2017",True,False,False,2019-10-22 10:17:37.075509
Titan Quest Bundle,Very Positive,7,"11,938",-63%,"20,22","54,97",,True,False,False,2019-10-22 10:17:37.075509
Megaquarium,Very Positive,7,713,-40%,"12,59","20,99","13 Sep, 2018",True,True,True,2019-10-22 10:17:37.075509
Muv-Luv Alternative,Very Positive,7,316,-40%,"22,19","36,99","28 Feb, 2018",True,False,False,2019-10-22 10:17:37.075509
The Fall of the Dungeon Guardians - Enhanced Edition,Very Positive,7,401,-66%,"6,79","19,99","6 Nov, 2015",True,True,True,2019-10-22 10:17:37.075509
HARDCORE MECHA,Very Positive,7,"1,322",-20%,"13,43","16,79","26 Jun, 2019",True,False,False,2019-10-22 10:17:37.075509
NEKO-NIN exHeart 2 Love +PLUS,Positive,6,47,-15%,"3,39","3,99","26 Apr, 2019",True,False,False,2019-10-22 10:17:37.075509
Stranded Sails - Explorers of the Cursed Islands,Mixed,4,117,-15%,"21,24","24,99","17 Oct, 2019",True,False,False,2019-10-22 10:17:37.075509
Muv-Luv,Very Positive,7,132,-40%,"16,79","27,99","28 Feb, 2018",True,False,False,2019-10-22 10:17:37.075509
Kingdom: New Lands,Very Positive,7,"4,636",-75%,"3,74","14,99","9 Aug, 2016",True,True,True,2019-10-22 10:17:37.075509
Dreamwalker: Never Fall Asleep,Mixed,4,16,-50%,"7,49","14,99","18 Oct, 2018",True,True,True,2019-10-22 10:17:37.075509
FORM,Very Positive,7,628,-60%,"4,99","12,49","1 Jun, 2017",True,False,False,2019-10-22 10:17:37.075509
TO THE TOP,Very Positive,7,494,-25%,"12,59","16,79","18 May, 2017",True,False,False,2019-10-22 10:17:37.075509
DiRT Bundle,Very Positive,7,"22,925",-76%,"35,34","144,97",,True,False,False,2019-10-22 10:17:37.075509
Paradox Grand Strategy Collection,Very Positive,7,"167,759",-27%,"116,96","159,96",,True,True,True,2019-10-22 10:17:38.227833
Between the Stars,Very Positive,7,521,-20%,"15,99","19,99","28 May, 2019",True,False,False,2019-10-22 10:17:38.227833
Starpoint Gemini 2,Mixed,4,"2,793",-85%,"4,79","31,99","26 Sep, 2014",True,False,False,2019-10-22 10:17:38.227833
001 Game Creator,Very Positive,7,133,-70%,"14,99","49,99","13 Jul, 2015",True,False,False,2019-10-22 10:17:38.227833
Bloody Trapland 2: Curiosity,Mostly Positive,5,97,-75%,"4,24","16,99","1 Feb, 2019",True,False,True,2019-10-22 10:17:38.227833
Dream Car Builder,Very Positive,7,375,-30%,"5,73","8,19","21 Sep, 2018",True,False,False,2019-10-22 10:17:38.227833
Overcrowd: A Commute 'Em Up,Very Positive,7,220,-20%,"11,19","13,99","6 Jun, 2019",True,False,False,2019-10-22 10:17:38.227833
Holdfast: Nations At War,Very Positive,7,"5,383",-50%,"9,99","19,99","21 Sep, 2017",True,False,False,2019-10-22 10:17:38.227833
Dragon Cliff,Very Positive,7,"2,410",-55%,"4,49","9,99","11 May, 2018",True,False,False,2019-10-22 10:17:38.227833
Jagged Alliance 2 - Wildfire,Mostly Positive,5,559,-50%,"3,49","6,99","16 Nov, 2012",True,True,True,2019-10-22 10:17:38.227833
Supraland,Overwhelmingly Positive,8,"2,402",-25%,"14,99","19,99","5 Apr, 2019",True,True,False,2019-10-22 10:17:38.227833
Cattails | Become a Cat!,Very Positive,7,482,-50%,"7,49","14,99","1 Dec, 2017",True,True,True,2019-10-22 10:17:38.227833
Kingdom: Classic,Very Positive,7,"4,140",-90%,"0,49","4,99","21 Oct, 2015",True,True,True,2019-10-22 10:17:38.227833
One Finger Death Punch 2,Overwhelmingly Positive,8,"1,612",-40%,"3,95","6,59","15 Apr, 2019",True,False,False,2019-10-22 10:17:38.227833
Judgment: Apocalypse Survival Simulation,Very Positive,7,"1,131",-30%,"13,99","19,99","3 May, 2018",True,False,False,2019-10-22 10:17:38.227833
Out There Somewhere,Very Positive,7,"5,998",-61%,"0,39","0,99","21 May, 2014",True,False,True,2019-10-22 10:17:38.227833
GameGuru,Mostly Positive,5,809,-50%,"14,99","29,99","19 May, 2015",True,False,False,2019-10-22 10:17:38.227833
Galaxy Squad,Very Positive,7,155,-66%,"2,78","8,19","15 Jul, 2019",True,True,False,2019-10-22 10:17:38.227833
Bio Inc. Redemption,Very Positive,7,810,-30%,"9,09","12,99","8 Mar, 2018",True,False,False,2019-10-22 10:17:38.227833
Lovecraft's Untold Stories,Very Positive,7,228,-45%,"8,24","14,99","31 Jan, 2019",True,False,True,2019-10-22 10:17:38.227833
Pharaoh + Cleopatra,Very Positive,7,560,-50%,"4,99","9,99","15 Dec, 2016",True,False,False,2019-10-22 10:17:38.227833
Hunting Simulator,Mixed,4,105,-70%,"10,49","34,99","9 Jun, 2017",True,False,False,2019-10-22 10:17:38.227833
Nidhogg 2,Mostly Positive,5,478,-60%,"5,99","14,99","15 Aug, 2017",True,False,True,2019-10-22 10:17:38.227833
Exoplanet: First Contact,Very Positive,7,164,-10%,"17,99","19,99","9 Dec, 2016",True,False,False,2019-10-22 10:17:38.227833
Space Quest™ Collection,Mostly Positive,5,149,-75%,"2,49","9,99","23 Jul, 2009",True,False,False,2019-10-22 10:17:39.465603
WRC 5 FIA World Rally Championship,Mixed,4,230,-80%,"7,99","39,99","8 Oct, 2015",True,False,False,2019-10-22 10:17:39.465603
Deponia,Very Positive,7,"6,342",-90%,"0,99","9,99","6 Aug, 2012",True,True,True,2019-10-22 10:17:39.465603
Muv-Luv Triple Threat,Very Positive,7,479,-49%,"43,83","85,97",,True,False,False,2019-10-22 10:17:39.465603
Deponia Doomsday,Very Positive,7,"1,442",-75%,"4,99","19,99","1 Mar, 2016",True,True,True,2019-10-22 10:17:39.465603
Nidhogg,Very Positive,7,"4,651",-60%,"3,99","9,99","13 Jan, 2014",True,False,True,2019-10-22 10:17:39.465603
Silence,Very Positive,7,746,-50%,"9,99","19,99","15 Nov, 2016",True,True,True,2019-10-22 10:17:39.465603
Dude Simulator 3,Mixed,4,49,-90%,"0,39","3,99","23 Aug, 2019",True,False,False,2019-10-22 10:17:39.465603
Steredenn,Very Positive,7,420,-60%,"5,19","12,99","1 Oct, 2015",True,True,True,2019-10-22 10:17:39.465603
Kingdom Imperial Collection,Very Positive,7,"10,288",-66%,"16,17","46,96",,True,False,True,2019-10-22 10:17:39.465603
Astrox Imperium,Very Positive,7,196,-15%,"10,61","12,49","22 Mar, 2019",True,False,False,2019-10-22 10:17:39.465603
Dead Effect 2,Mostly Positive,5,"1,286",-80%,"2,39","11,99","6 May, 2016",True,False,True,2019-10-22 10:17:39.465603
The World Next Door,Mostly Positive,5,57,-70%,"2,45","8,19","28 Mar, 2019",True,False,True,2019-10-22 10:17:39.465603
Demon Hunter 2: New Chapter,Mixed,4,63,-70%,"2,39","7,99","21 Jul, 2016",True,True,True,2019-10-22 10:17:39.465603
Home Design 3D,Mostly Positive,5,578,-50%,"4,99","9,99","20 Nov, 2015",True,False,True,2019-10-22 10:17:39.465603
Driven Out,Mostly Positive,5,25,-10%,"11,24","12,49","18 Oct, 2019",True,False,False,2019-10-22 10:17:39.465603
Immortal Planet,Very Positive,7,121,-50%,"7,49","14,99","27 Jul, 2017",True,False,False,2019-10-22 10:17:39.465603
Dino D-Day,Very Positive,7,"7,652",-90%,"0,99","9,99","8 Apr, 2011",True,False,False,2019-10-22 10:17:39.465603
Garden of the Sea,Very Positive,7,87,-50%,"2,49","4,99","10 Jun, 2019",True,False,False,2019-10-22 10:17:39.465603
Crazy Machines 3,Overwhelmingly Positive,8,"2,226",-75%,"2,49","9,99","18 Oct, 2016",True,False,False,2019-10-22 10:17:39.465603
UNDER the SAND - a road trip game,Mostly Positive,5,216,-30%,"2,79","3,99","17 May, 2019",True,False,False,2019-10-22 10:17:39.465603
"Please, Don’t Touch Anything",Very Positive,7,"2,690",-65%,"2,44","6,99","26 Mar, 2015",True,True,True,2019-10-22 10:17:39.465603
The Slater,Mostly Positive,5,156,-67%,"4,61","13,99","20 Sep, 2018",True,False,False,2019-10-22 10:17:39.465603
Hive Jump,Mostly Positive,5,163,-90%,"1,99","19,99","18 Jan, 2017",True,True,True,2019-10-22 10:17:39.465603
BalanCity,Mostly Positive,5,230,-90%,"0,79","7,99","21 Sep, 2016",True,True,True,2019-10-22 10:17:40.554982
Templar Battleforce,Very Positive,7,705,-50%,"4,99","9,99","21 Sep, 2015",True,True,True,2019-10-22 10:17:40.554982
Costume Quest,Very Positive,7,"1,756",-75%,"2,49","9,99","14 Oct, 2011",True,True,True,2019-10-22 10:17:40.554982
Hero of the Kingdom II,Very Positive,7,"1,131",-88%,"0,95","7,99","20 Feb, 2015",True,True,True,2019-10-22 10:17:40.554982
Avadon: The Black Fortress,Very Positive,7,292,-70%,"2,99","9,99","17 Aug, 2011",True,True,True,2019-10-22 10:17:40.554982
One Finger Death Punch,Overwhelmingly Positive,8,"11,494",-60%,"1,99","4,99","3 Mar, 2014",True,False,False,2019-10-22 10:17:40.554982
Blood and Bacon,Very Positive,7,"15,411",-51%,"0,49","0,99","1 Feb, 2016",True,False,False,2019-10-22 10:17:40.554982
Zeliria Sanctuary,Very Positive,7,241,-25%,"6,14","8,19","6 Jan, 2019",True,True,True,2019-10-22 10:17:40.554982
Princess Isabella - Return of the Curse,Positive,6,42,-90%,"0,49","4,99","15 Apr, 2014",True,False,False,2019-10-22 10:17:40.554982
NEKO-NIN exHeart +PLUS Saiha,Very Positive,7,101,-50%,"0,99","1,99","17 Nov, 2017",True,False,False,2019-10-22 10:17:40.554982
NEKO-NIN exHeart +PLUS Nachi,Very Positive,7,149,-50%,"0,99","1,99","2 Nov, 2017",True,False,False,2019-10-22 10:17:40.554982
The Next Penelope,Mostly Positive,5,104,-80%,"2,79","13,99","29 May, 2015",True,False,True,2019-10-22 10:17:40.554982
In The Shadows,Positive,6,13,-40%,"7,97","13,29","20 Oct, 2017",True,True,True,2019-10-22 10:17:40.554982
Journey of a Roach,Very Positive,7,872,-86%,"0,97","6,99","4 Nov, 2013",True,True,True,2019-10-22 10:17:40.554982
Dino Run DX,Very Positive,7,469,-66%,"2,03","5,99","29 Sep, 2015",True,False,True,2019-10-22 10:17:40.554982
Drunk On Nectar - The Nature Simulator,Very Positive,7,61,-20%,"9,99","12,49","16 Nov, 2016",True,True,False,2019-10-22 10:17:40.554982
LEAVES - The Return,Very Positive,7,57,-80%,"1,59","7,99","14 Mar, 2017",True,False,True,2019-10-22 10:17:40.554982
Post Master,Mixed,4,142,-70%,"1,49","4,99","7 Mar, 2014",True,False,True,2019-10-22 10:17:40.554982
Dead Effect,Mostly Positive,5,"2,383",-80%,"0,99","4,99","17 Dec, 2014",True,False,True,2019-10-22 10:17:40.554982
Ghostory,Positive,6,15,-75%,"1,74","6,99","23 Oct, 2017",True,True,True,2019-10-22 10:17:40.554982
前程似锦 Excellent Expectations,Very Positive,7,557,-27%,"2,18","2,99","21 Dec, 2017",True,False,True,2019-10-22 10:17:40.554982
Demons with Shotguns,Positive,6,16,-75%,"2,49","9,99","25 Apr, 2016",True,False,True,2019-10-22 10:17:40.554982
Putrefaction 2: Void Walker,Mostly Positive,5,179,-87%,"0,64","4,99","29 May, 2017",True,False,False,2019-10-22 10:17:40.554982
Morphopolis,Very Positive,7,"4,229",-80%,"0,65","3,29","14 Aug, 2014",True,False,False,2019-10-22 10:17:40.554982
